time,t,t_imu,freq_imu,ypr_0,ypr_1,ypr_2,a_0,a_1,a_2,W_0,W_1,W_2,temperature,t_gps,freq_gps,rtk_x_0,rtk_x_1,rtk_x_2,rtk_v_0,rtk_v_1,rtk_v_2,llh_0,llh_1,llh_2,status,num_sats,t_ane1,freq_ane1,uvw_ane1_0,uvw_ane1_1,uvw_ane1_2,temp_ane1,t_ane2,freq_ane2,uvw_ane2_0,uvw_ane2_1,uvw_ane2_2,temp_ane2,base_t_imu,base_freq_imu,base_ypr_0,base_ypr_1,base_ypr_2,base_a_0,base_a_1,base_a_2,base_W_0,base_W_1,base_W_2,base_temperature,base_t_gps,base_freq_gps,base_llh_0,base_llh_1,base_llh_2,base_status,base_num_sats,
040109.398218,47,0.000131,25,83.66426849365234,85.72299194335938,-143.02920532226562,9.760553359985352,0.42914602160453796,0.5824236869812012,0.00020009581930935383,-0.00023117534874472767,-0.00020879507064819336,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
040109.424961,74,0.000131,25,83.66899871826172,85.72299194335938,-143.02418518066406,9.772027969360352,0.44106006622314453,0.5428376793861389,0.0006209616549313068,-0.0009561842307448387,-0.00014287419617176056,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
040109.452956,102,0.000131,25,83.66667938232422,85.72285461425781,-143.02691650390625,9.77255916595459,0.4433750808238983,0.5918595790863037,0.00024166656658053398,0.0011758707696571946,0.0011552264913916588,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
040109.489177,138,0.000131,25,83.66667938232422,85.72285461425781,-143.02691650390625,9.77255916595459,0.4433750808238983,0.5918595790863037,0.00024166656658053398,0.0011758707696571946,0.0011552264913916588,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
040109.511019,160,0.000131,25,83.65296173095703,85.7219467163086,-143.04019165039062,9.748605728149414,0.4375075399875641,0.6187037229537964,0.00012288987636566162,0.0013835192658007145,0.0007963180541992188,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
040109.562877,212,0.000131,25,83.65467834472656,85.7204360961914,-143.03848266601562,9.768906593322754,0.4619498550891876,0.5629528164863586,0.0012085703201591969,0.0004696394898928702,-0.0005551278591156006,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
040109.583452,232,0.000131,25,83.6741943359375,85.72097778320312,-143.01914978027344,9.778900146484375,0.44611433148384094,0.5716941952705383,-0.0012548691593110561,-0.0008147569606080651,-0.0011647604405879974,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
040109.610301,259,0.000131,25,83.686279296875,85.72171020507812,-143.00645446777344,9.76474666595459,0.45511242747306824,0.5649255514144897,0.0002348122652620077,0.00035864277742803097,-0.0011933129280805588,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
040109.630828,280,0.000131,25,83.69010925292969,85.72184753417969,-143.0020294189453,9.743453025817871,0.4353436827659607,0.5580316781997681,0.0010327475611120462,-0.0005227688234299421,-0.0005233865231275558,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
040109.651390,300,0.000131,25,83.69742584228516,85.72280883789062,-142.99522399902344,9.78413200378418,0.4414757490158081,0.5725772976875305,-0.000748942606151104,0.0006582908681593835,0.00036440230906009674,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
