time,t,t_imu,freq_imu,ypr_0,ypr_1,ypr_2,a_0,a_1,a_2,W_0,W_1,W_2,temperature,t_gps,freq_gps,rtk_x_0,rtk_x_1,rtk_x_2,rtk_v_0,rtk_v_1,rtk_v_2,llh_0,llh_1,llh_2,status,num_sats,t_ane1,freq_ane1,uvw_ane1_0,uvw_ane1_1,uvw_ane1_2,temp_ane1,t_ane2,freq_ane2,uvw_ane2_0,uvw_ane2_1,uvw_ane2_2,temp_ane2,base_t_imu,base_freq_imu,base_ypr_0,base_ypr_1,base_ypr_2,base_a_0,base_a_1,base_a_2,base_W_0,base_W_1,base_W_2,base_temperature,base_t_gps,base_freq_gps,base_llh_0,base_llh_1,base_llh_2,base_status,base_num_sats,
152409.791401,37,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152409.827512,73,0.000389,10,-33.10955047607422,1.6596076488494873,-0.5577790141105652,0.09997466951608658,0.10270597785711288,-9.708276748657227,-0.0006545637734234333,-0.007285425439476967,-0.0003894341643899679,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152409.894831,140,0.000389,10,-33.11025619506836,1.647352695465088,-0.559043288230896,0.17898817360401154,0.1214396208524704,-9.826205253601074,-0.0021572085097432137,-0.023612845689058304,-0.0013051445130258799,0.0,0.090399,5,0.0,0.0,0.0,0.0,0.0,0.0,39.08839830107382,-76.35472933820913,-19.090438833658624,6,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152409.919990,166,0.000389,10,-33.11378479003906,1.624137043952942,-0.5618447661399841,0.4065096974372864,0.1555338203907013,-9.974929809570312,0.0013628315646201372,0.0032590096816420555,-0.0019197692163288593,0.0,0.090399,5,0.0,0.0,0.0,0.0,0.0,0.0,39.08839830107382,-76.35472933820913,-19.090438833658624,6,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152409.952563,198,0.000389,10,-33.11656951904297,1.6345397233963013,-0.5624017715454102,0.32250627875328064,0.024649744853377342,-9.693607330322266,0.0024286729749292135,-0.0004223220166750252,0.0005789237329736352,0.0,0.090399,5,0.0,0.0,0.0,0.0,0.0,0.0,39.08839830107382,-76.35472933820913,-19.090438833658624,6,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152410.001418,247,0.000389,10,-33.12102508544922,1.6238889694213867,-0.560519278049469,0.3776569962501526,0.08320502191781998,-10.039495468139648,-0.0014457660727202892,-0.012214478105306625,-0.0011664286721497774,0.0,0.090399,5,0.0,0.0,0.0,0.0,0.0,0.0,39.08839830107382,-76.35472933820913,-19.090438833658624,6,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152410.043732,289,0.000389,10,-33.125099182128906,1.6482939720153809,-0.5529641509056091,0.28466305136680603,0.05692477524280548,-10.013172149658203,0.0024171145632863045,0.009844623506069183,-0.0007379979360848665,0.0,0.248886,5,-3.555,1.759,2.369,1.931,0.036,0.023,39.0884017904215,-76.35472927809462,-19.076729319855463,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152410.065608,311,0.000389,10,-33.12657165527344,1.6529687643051147,-0.5533937811851501,0.12937888503074646,0.03648902103304863,-9.755147933959961,-0.0009634708985686302,-0.001373792183585465,-0.0017132973298430443,0.0,0.248886,5,-3.555,1.759,2.369,1.931,0.036,0.023,39.0884017904215,-76.35472927809462,-19.076729319855463,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152410.086168,332,0.000389,10,-33.12854766845703,1.6351114511489868,-0.5542051792144775,0.2579618990421295,0.09667792171239853,-9.924164772033691,-0.0018344786949455738,-0.019799690693616867,-0.0031675754580646753,0.0,0.248886,5,-3.555,1.759,2.369,1.931,0.036,0.023,39.0884017904215,-76.35472927809462,-19.076729319855463,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152410.113145,359,0.000389,10,-33.130287170410156,1.6217272281646729,-0.5595879554748535,0.37434911727905273,0.1788659542798996,-9.948712348937988,-0.0031823846511542797,0.0019781645387411118,-0.00021142768673598766,0.0,0.248886,5,-3.555,1.759,2.369,1.931,0.036,0.023,39.0884017904215,-76.35472927809462,-19.076729319855463,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152410.133946,380,0.000389,10,-33.13193893432617,1.6252588033676147,-0.5575453639030457,0.34466373920440674,0.09385216981172562,-9.774164199829102,0.004483175929635763,0.0017566452734172344,-0.0013657179661095142,0.0,0.248886,5,-3.555,1.759,2.369,1.931,0.036,0.023,39.0884017904215,-76.35472927809462,-19.076729319855463,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152410.155513,401,0.000389,10,-33.1328239440918,1.6284716129302979,-0.5560994148254395,0.33887025713920593,0.15611939132213593,-9.904879570007324,-0.00011129071936011314,0.0057019563391804695,-0.0012766995932906866,0.0,0.248886,5,-3.555,1.759,2.369,1.931,0.036,0.023,39.0884017904215,-76.35472927809462,-19.076729319855463,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152410.176415,422,0.000389,10,-33.134395599365234,1.6441057920455933,-0.5538405776023865,0.22866380214691162,0.00843822956085205,-9.934727668762207,0.0015300086233764887,0.01720510423183441,-0.00043762335553765297,0.0,0.403458,5,-3.553,1.76,2.373,1.963,0.023,-0.019,39.08840524956721,-76.3547291776293,-19.064372847825574,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152410.197756,443,0.000389,10,-33.13493728637695,1.6529680490493774,-0.5489662289619446,0.1381681114435196,0.00987976137548685,-9.756333351135254,0.002646949142217636,0.001310941530391574,-0.0007472455035895109,0.0,0.403458,5,-3.553,1.76,2.373,1.963,0.023,-0.019,39.08840524956721,-76.3547291776293,-19.064372847825574,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152410.223617,469,0.000389,10,-33.13751983642578,1.6318608522415161,-0.5510033369064331,0.25491198897361755,0.09551229327917099,-9.82017707824707,-0.003398200497031212,-0.010032891295850277,-0.0020074977073818445,0.0,0.403458,5,-3.553,1.76,2.373,1.963,0.023,-0.019,39.08840524956721,-76.3547291776293,-19.064372847825574,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152410.244188,490,0.000389,10,-33.14027786254883,1.626455545425415,-0.5508529543876648,0.27749136090278625,0.22467216849327087,-10.000164985656738,0.0009496933780610561,-0.007076510228216648,-0.002298524836078286,0.0,0.403458,5,-3.553,1.76,2.373,1.963,0.023,-0.019,39.08840524956721,-76.3547291776293,-19.064372847825574,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152410.265999,512,0.000389,10,-33.142913818359375,1.6119697093963623,-0.5548693537712097,0.3501274287700653,0.147047221660614,-9.791825294494629,-0.00012294482439756393,-0.014347239397466183,-0.00226972415111959,0.0,0.403458,5,-3.553,1.76,2.373,1.963,0.023,-0.019,39.08840524956721,-76.3547291776293,-19.064372847825574,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152410.287614,533,0.000389,10,-33.14354705810547,1.6173959970474243,-0.5549185872077942,0.4335547387599945,0.1689239889383316,-9.904643058776855,0.0010591396130621433,0.013780836015939713,-8.776457980275154e-05,0.0,0.403458,5,-3.553,1.76,2.373,1.963,0.023,-0.019,39.08840524956721,-76.3547291776293,-19.064372847825574,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152410.313782,559,0.000389,10,-33.14369201660156,1.6365489959716797,-0.5495727062225342,0.24616196751594543,0.03163816034793854,-9.888483047485352,0.0023444141261279583,0.0018384517170488834,-3.082701005041599e-05,0.0,0.403458,5,-3.553,1.76,2.373,1.963,0.023,-0.019,39.08840524956721,-76.3547291776293,-19.064372847825574,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152410.335884,581,0.000389,10,-33.144596099853516,1.640316128730774,-0.546237051486969,0.24778255820274353,-0.03290975093841553,-9.933743476867676,0.002557785017415881,0.006945885717868805,-0.0013613570481538773,0.0,0.403458,5,-3.553,1.76,2.373,1.963,0.023,-0.019,39.08840524956721,-76.3547291776293,-19.064372847825574,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152410.357588,603,0.000389,10,-33.14580154418945,1.6415737867355347,-0.5456379652023315,0.146806001663208,0.13222438097000122,-9.899846076965332,-0.0010012928396463394,-0.0012086017522960901,-0.0010569721926003695,0.0,0.601942,5,-3.553,1.76,2.365,1.947,0.041,-0.014,39.08840875880407,-76.35472911290267,-19.05773957708212,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152410.383384,629,0.000389,10,-33.14821243286133,1.6200813055038452,-0.5469015836715698,0.30085861682891846,0.22766607999801636,-9.942258834838867,-0.0011959001421928406,-0.015209848061203957,-0.0005902934353798628,0.0,0.601942,5,-3.553,1.76,2.365,1.947,0.041,-0.014,39.08840875880407,-76.35472911290267,-19.05773957708212,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152410.405057,651,0.000389,10,-33.15110778808594,1.6084449291229248,-0.5502989292144775,0.40389397740364075,0.14192773401737213,-9.822437286376953,-0.000805179588496685,-0.004498085007071495,-0.0023740865290164948,0.0,0.601942,5,-3.553,1.76,2.365,1.947,0.041,-0.014,39.08840875880407,-76.35472911290267,-19.05773957708212,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152410.426170,672,0.000389,10,-33.15385437011719,1.6168276071548462,-0.5513466596603394,0.3582460582256317,0.15959861874580383,-9.929340362548828,0.0006420942954719067,0.008085238747298717,-0.002919512102380395,0.0,0.601942,5,-3.553,1.76,2.365,1.947,0.041,-0.014,39.08840875880407,-76.35472911290267,-19.05773957708212,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
152410.446743,692,0.000389,10,-33.154884338378906,1.6245722770690918,-0.5476319193840027,0.3162399232387543,0.1227351725101471,-9.784531593322754,0.004459280986338854,0.004294072277843952,-0.0001338717993348837,0.0,0.601942,5,-3.553,1.76,2.365,1.947,0.041,-0.014,39.08840875880407,-76.35472911290267,-19.05773957708212,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
