time,t,t_imu,freq_imu,ypr_0,ypr_1,ypr_2,a_0,a_1,a_2,W_0,W_1,W_2,temperature,t_gps,freq_gps,rtk_x_0,rtk_x_1,rtk_x_2,rtk_v_0,rtk_v_1,rtk_v_2,llh_0,llh_1,llh_2,status,num_sats,t_ane1,freq_ane1,uvw_ane1_0,uvw_ane1_1,uvw_ane1_2,temp_ane1,t_ane2,freq_ane2,uvw_ane2_0,uvw_ane2_1,uvw_ane2_2,temp_ane2,base_t_imu,base_freq_imu,base_ypr_0,base_ypr_1,base_ypr_2,base_a_0,base_a_1,base_a_2,base_W_0,base_W_1,base_W_2,base_temperature,base_t_gps,base_freq_gps,base_llh_0,base_llh_1,base_llh_2,base_status,base_num_sats,
031415.827193,26,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
031415.838503,37,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
031415.849300,48,0.000135,120,52.24757766723633,38.68731689453125,178.1526336669922,6.0455732345581055,-0.22250594198703766,7.540761947631836,0.0004417786840349436,-0.0004396791337057948,0.0007255896925926208,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
031415.863637,63,0.000135,120,52.24787521362305,38.68705749511719,178.15267944335938,6.049777030944824,-0.2472086101770401,7.551194190979004,-0.00034918426536023617,0.0010691176867112517,-3.9002858102321625e-05,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
031415.877692,77,0.000135,120,52.24769973754883,38.68623733520508,178.15213012695312,6.068280220031738,-0.26201707124710083,7.5869011878967285,0.0009459033608436584,0.00018912326777353883,-0.0008735107257962227,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
031415.901321,100,0.000135,120,52.247982025146484,38.68648910522461,178.1525115966797,6.061195373535156,-0.20496508479118347,7.550169944763184,0.0006283926777541637,-0.0006059527513571084,-0.0006104717031121254,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
031415.944889,144,0.000135,120,52.247982025146484,38.68648910522461,178.1525115966797,6.061195373535156,-0.20496508479118347,7.550169944763184,0.0006283926777541637,-0.0006059527513571084,-0.0006104717031121254,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
031415.984141,183,0.000135,120,52.250587463378906,38.68663787841797,178.1541290283203,6.065117359161377,-0.25967663526535034,7.559964179992676,0.0003282986581325531,0.0008277914021164179,-0.0005638729780912399,0.0,0.151358,5,0.0,0.0,0.0,0.0,0.0,0.0,37.774338695052606,-122.41807916843084,-5.6049296178026395,4,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
031415.998973,198,0.000135,120,52.25080490112305,38.68730926513672,178.15330505371094,6.042582988739014,-0.26374608278274536,7.547150611877441,0.00014103087596595287,-7.944449316710234e-05,-0.0011572688817977905,0.0,0.151358,5,0.0,0.0,0.0,0.0,0.0,0.0,37.774338695052606,-122.41807916843084,-5.6049296178026395,4,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
031416.010215,209,0.000135,120,52.25131607055664,38.68761444091797,178.15365600585938,6.054859638214111,-0.23944871127605438,7.539069175720215,9.470619261264801e-06,0.00047655001981183887,0.0008527776226401329,0.0,0.151358,5,0.0,0.0,0.0,0.0,0.0,0.0,37.774338695052606,-122.41807916843084,-5.6049296178026395,4,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
031416.023732,223,0.000135,120,52.25287628173828,38.68769836425781,178.1546630859375,6.0207695960998535,-0.24718159437179565,7.507032871246338,-0.0007537468336522579,0.0012920714216306806,2.1791085600852966e-05,0.0,0.151358,5,0.0,0.0,0.0,0.0,0.0,0.0,37.774338695052606,-122.41807916843084,-5.6049296178026395,4,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
031416.034300,233,0.000135,120,52.25248718261719,38.68757247924805,178.1538848876953,6.045650482177734,-0.26993975043296814,7.558865070343018,-0.0010197095107287169,2.3547327145934105e-06,0.001349838450551033,0.0,0.151358,5,0.0,0.0,0.0,0.0,0.0,0.0,37.774338695052606,-122.41807916843084,-5.6049296178026395,4,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
031416.044778,244,0.000135,120,52.25240707397461,38.68775939941406,178.1537628173828,6.040807723999023,-0.251208633184433,7.546720504760742,0.0006179190240800381,-0.0004805253120139241,-0.0005210051313042641,0.0,0.151358,5,0.0,0.0,0.0,0.0,0.0,0.0,37.774338695052606,-122.41807916843084,-5.6049296178026395,4,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
031416.055350,254,0.000135,120,52.253013610839844,38.688011169433594,178.15447998046875,6.043224811553955,-0.18858066201210022,7.562055587768555,0.0010066833347082138,-0.0008755417075008154,-0.0004303082823753357,0.0,0.151358,5,0.0,0.0,0.0,0.0,0.0,0.0,37.774338695052606,-122.41807916843084,-5.6049296178026395,4,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
031416.065793,265,0.000135,120,52.25276184082031,38.68794631958008,178.1544647216797,6.0411176681518555,-0.22933313250541687,7.552492141723633,-0.0003436887636780739,-0.00015406683087348938,0.0012245634570717812,0.0,0.151358,5,0.0,0.0,0.0,0.0,0.0,0.0,37.774338695052606,-122.41807916843084,-5.6049296178026395,4,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
031416.076256,275,0.000135,120,52.252525329589844,38.68864059448242,178.1538543701172,6.060956954956055,-0.23835144937038422,7.553127288818359,-0.00027926242910325527,-0.0008705975487828255,0.0003282129764556885,0.0,0.151358,5,0.0,0.0,0.0,0.0,0.0,0.0,37.774338695052606,-122.41807916843084,-5.6049296178026395,4,9,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
