time,t,t_imu,freq_imu,ypr_0,ypr_1,ypr_2,a_0,a_1,a_2,W_0,W_1,W_2,temperature,t_gps,freq_gps,rtk_x_0,rtk_x_1,rtk_x_2,rtk_v_0,rtk_v_1,rtk_v_2,llh_0,llh_1,llh_2,status,num_sats,t_ane1,freq_ane1,uvw_ane1_0,uvw_ane1_1,uvw_ane1_2,temp_ane1,t_ane2,freq_ane2,uvw_ane2_0,uvw_ane2_1,uvw_ane2_2,temp_ane2,base_t_imu,base_freq_imu,base_ypr_0,base_ypr_1,base_ypr_2,base_a_0,base_a_1,base_a_2,base_W_0,base_W_1,base_W_2,base_temperature,base_t_gps,base_freq_gps,base_llh_0,base_llh_1,base_llh_2,base_status,base_num_sats,
044440.431035,35,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
044440.462121,67,0.000126,25,149.3660125732422,-0.8173543214797974,-1.2077149152755737,-0.12956221401691437,0.26578614115715027,-9.890920639038086,0.01365742553025484,-0.0016226617153733969,-0.0029968805611133575,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
044440.484773,90,0.000126,25,149.36582946777344,-0.8165118098258972,-1.1999883651733398,-0.11568266898393631,0.24395982921123505,-10.009942054748535,0.013871867209672928,0.002076840726658702,-0.0030989032238721848,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
044440.566725,171,0.000126,25,149.36102294921875,-0.820253312587738,-1.1228662729263306,-0.12278920412063599,0.15476423501968384,-9.970466613769531,0.015835674479603767,-0.0010071469005197287,-0.0025904178619384766,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
044440.600469,205,0.000126,25,149.35427856445312,-0.8272830247879028,-1.07506263256073,-0.12412447482347488,0.2666780352592468,-9.964569091796875,0.012185145169496536,0.0028246233705431223,-0.0035437829792499542,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
044440.621194,226,0.000126,25,149.35276794433594,-0.8299660086631775,-1.0620779991149902,-0.16090017557144165,0.13748541474342346,-10.058735847473145,0.012752605602145195,-0.005155317485332489,-0.0020285947248339653,0.0,0.217359,4,3.029,1.079,1.284,-2.45,-1.009,0.035,39.088528046485514,-76.34985675532862,-25.417759431021977,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
044440.641925,247,0.000126,25,149.35162353515625,-0.8308694958686829,-1.0461816787719727,-0.08487650007009506,0.1824466437101364,-9.898412704467773,0.013535026460886002,0.0030778474174439907,-0.003659856505692005,0.0,0.217359,4,3.029,1.079,1.284,-2.45,-1.009,0.035,39.088528046485514,-76.34985675532862,-25.417759431021977,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
044440.663494,268,0.000126,25,149.3498992919922,-0.829710066318512,-1.0320132970809937,-0.23120060563087463,0.08160197734832764,-10.116732597351074,0.011660375632345676,-0.003994807135313749,-0.0033396584913134575,0.0,0.217359,4,3.029,1.079,1.284,-2.45,-1.009,0.035,39.088528046485514,-76.34985675532862,-25.417759431021977,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
044440.689961,295,0.000126,25,149.34738159179688,-0.837250828742981,-1.0072921514511108,-0.14701266586780548,0.051281336694955826,-10.031656265258789,0.013646071776747704,0.0028454759158194065,-0.0027382150292396545,0.0,0.217359,4,3.029,1.079,1.284,-2.45,-1.009,0.035,39.088528046485514,-76.34985675532862,-25.417759431021977,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
044440.710533,315,0.000126,25,149.34642028808594,-0.8421376347541809,-0.9936307668685913,-0.18081243336200714,0.11553055047988892,-10.005158424377441,0.010596801526844501,-0.0097816102206707,-0.0022196806967258453,0.0,0.217359,4,3.029,1.079,1.284,-2.45,-1.009,0.035,39.088528046485514,-76.34985675532862,-25.417759431021977,4,13,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
