time,t,t_imu,freq_imu,ypr_0,ypr_1,ypr_2,a_0,a_1,a_2,W_0,W_1,W_2,temperature,t_gps,freq_gps,rtk_x_0,rtk_x_1,rtk_x_2,rtk_v_0,rtk_v_1,rtk_v_2,llh_0,llh_1,llh_2,status,num_sats,t_ane1,freq_ane1,uvw_ane1_0,uvw_ane1_1,uvw_ane1_2,temp_ane1,t_ane2,freq_ane2,uvw_ane2_0,uvw_ane2_1,uvw_ane2_2,temp_ane2,base_t_imu,base_freq_imu,base_ypr_0,base_ypr_1,base_ypr_2,base_a_0,base_a_1,base_a_2,base_W_0,base_W_1,base_W_2,base_temperature,base_t_gps,base_freq_gps,base_llh_0,base_llh_1,base_llh_2,base_status,base_num_sats,
141926.351457,45,0.000133,25,-156.4690399169922,37.945255279541016,178.76901245117188,5.985038757324219,-0.15084610879421234,7.662480354309082,0.0005178471328690648,0.00031429401133209467,0.0004294468089938164,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
141926.372184,66,0.000133,25,-156.4734649658203,37.9453239440918,178.76959228515625,5.9799981117248535,-0.1722642481327057,7.630716323852539,-5.49789983779192e-05,8.978531695902348e-07,-0.0001112399622797966,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
141926.392315,86,0.000133,25,-156.47557067871094,37.94429016113281,178.76966857910156,5.96017599105835,-0.161386176943779,7.660280227661133,-0.0012463547755032778,-1.4860881492495537e-05,-0.0010390738025307655,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
141926.418418,112,0.000133,25,-156.47557067871094,37.94429016113281,178.76966857910156,5.96017599105835,-0.161386176943779,7.660280227661133,-0.0012463547755032778,-1.4860881492495537e-05,-0.0010390738025307655,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
141926.454221,148,0.000133,25,-156.47743225097656,37.9447135925293,178.76939392089844,5.962838649749756,-0.16817855834960938,7.645074844360352,-0.0005014457274228334,-0.0002854240301530808,6.765127182006836e-05,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
141926.490248,184,0.000133,25,-156.49545288085938,37.94499206542969,178.77073669433594,5.9408040046691895,-0.1567237824201584,7.6561994552612305,0.00014643208123743534,-0.00029010672005824745,-0.0005279472097754478,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
141926.512233,206,0.000133,25,-156.50282287597656,37.94471740722656,178.76976013183594,5.972676753997803,-0.18538042902946472,7.64154052734375,0.0005208068760111928,0.0005253384588286281,-0.0013153785839676857,0.0,0.190835,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
141926.537842,232,0.000133,25,-156.51339721679688,37.94522476196289,178.7699737548828,5.960638999938965,-0.1654287874698639,7.660599708557129,0.0006212706211954355,0.00044353478006087244,0.0007522515952587128,0.0,0.190835,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
141926.558406,252,0.000133,25,-156.51661682128906,37.94472885131836,178.7691650390625,5.974997520446777,-0.15739570558071136,7.674347877502441,1.4334218576550484e-05,-0.00011786745744757354,-0.0004884395748376846,0.0,0.190835,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
141926.578963,273,0.000133,25,-156.52374267578125,37.94525146484375,178.76925659179688,5.981544017791748,-0.16875971853733063,7.662809371948242,0.0003992491401731968,4.420644836500287e-05,0.001019991934299469,0.0,0.190835,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
141926.599512,293,0.000133,25,-156.5267333984375,37.945884704589844,178.76840209960938,5.967527389526367,-0.1653093695640564,7.6256303787231445,0.00010742596350610256,0.00022896850714460015,0.00024378206580877304,0.0,0.190835,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
141926.620040,314,0.000133,25,-156.53057861328125,37.94462203979492,178.76902770996094,5.9708781242370605,-0.15430614352226257,7.666871547698975,-0.0002699617762118578,0.0015271949814632535,5.122087895870209e-05,0.0,0.190835,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
141926.647369,341,0.000133,25,-156.53562927246094,37.94370651245117,178.77044677734375,5.960953235626221,-0.17606157064437866,7.669136047363281,0.001499031437560916,0.0005116875981912017,0.00018667709082365036,0.0,0.341514,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
141926.668800,363,0.000133,25,-156.54147338867188,37.94405746459961,178.7713165283203,5.992453575134277,-0.17272807657718658,7.687589645385742,-2.7564354240894318e-05,0.0005166899645701051,-0.00010514259338378906,0.0,0.341514,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
141926.689459,383,0.000133,25,-156.54751586914062,37.94511032104492,178.77027893066406,5.963479995727539,-0.1806989461183548,7.663569450378418,0.0007352150278165936,-0.0009232306620106101,0.0008023185655474663,0.0,0.341514,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
141926.709990,404,0.000133,25,-156.55325317382812,37.944915771484375,178.7708282470703,6.003884315490723,-0.13852307200431824,7.661736488342285,0.00018714857287704945,-4.506888217292726e-05,9.452831000089645e-05,0.0,0.341514,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
141926.730519,424,0.000133,25,-156.55844116210938,37.94525909423828,178.77096557617188,5.961324214935303,-0.1561732441186905,7.669003963470459,0.00034411263186484575,0.0003617982438299805,-8.827820420265198e-05,0.0,0.341514,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
141926.751070,445,0.000133,25,-156.56427001953125,37.94468307495117,178.77078247070312,5.975414276123047,-0.16294708847999573,7.6651387214660645,0.000853715231642127,0.0008803580421954393,0.0010575009509921074,0.0,0.341514,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
141926.771624,465,0.000133,25,-156.567626953125,37.94441604614258,178.77206420898438,5.991373062133789,-0.1565551459789276,7.665528297424316,0.0014245840720832348,9.881175355985761e-05,-0.0006985403597354889,0.0,0.341514,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
141926.797193,491,0.000133,25,-156.5730743408203,37.94533920288086,178.7710723876953,5.977571487426758,-0.18465979397296906,7.688425540924072,-0.00011741090565919876,-8.742754289414734e-05,0.0002193218097090721,0.0,0.341514,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
141926.817851,512,0.000133,25,-156.58013916015625,37.94530487060547,178.77053833007812,5.980753421783447,-0.17946195602416992,7.639777183532715,0.0014696342404931784,-0.00036755905603058636,0.000589931383728981,0.0,0.341514,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
141926.839759,533,0.000133,25,-156.58584594726562,37.94492721557617,178.76971435546875,5.968210220336914,-0.1523394137620926,7.6853861808776855,0.00022107944823801517,0.0002611492818687111,0.0010501043871045113,0.0,0.341514,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
141926.860451,554,0.000133,25,-156.5928497314453,37.94428634643555,178.76963806152344,5.964215278625488,-0.193456768989563,7.657919883728027,0.00027836079243570566,-0.0008126290049403906,0.00038362666964530945,0.0,0.541234,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
141926.881033,575,0.000133,25,-156.60008239746094,37.94472885131836,178.7694091796875,5.9771270751953125,-0.14892764389514923,7.641519069671631,-0.0006908203940838575,-4.275547689758241e-05,0.0009096115827560425,0.0,0.541234,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,
